Source,Destination,Distance
VirginiaBeach,KansasCity,4560
SanFrancisco,Detroit,2193
Louisville,Baltimore,1221
Columbus,Arlington,3083
Raleigh,Tucson,2463
Tulsa,Columbus,1456
Milwaukee,Austin,3923
Fresno,Seattle,4598
KansasCity,Tucson,1885
Fresno,Chicago,4082
Detroit,Louisville,4330
Charlotte,Houston,4824
ElPaso,Chicago,3069
Cleveland,Tampa,1056
Boston,Tampa,3205
Chicago,Raleigh,910
Anaheim,ElPaso,1192
Raleigh,Seattle,3354
VirginiaBeach,Aurora,1297
NewYork,Sacramento,864
OklahomaCity,Charlotte,2922
Indianapolis,Bakersfield,4821
Honolulu,Phoenix,1102
Phoenix,Minneapolis,1906
Nashville,Seattle,4590
Tucson,Honolulu,2700
SanFrancisco,Memphis,614
Portland,NewYork,1717
Denver,Wichita,2005
Seattle,LosAngeles,3546
Mesa,SanFrancisco,4854
Baltimore,SantaAna,1442
Jacksonville,Detroit,4815
LongBeach,Wichita,1019
Columbus,Sacramento,2771
Phoenix,Seattle,2609
FortWorth,Washington,4403
Dallas,Omaha,3531
Columbus,Louisville,4580
SanAntonio,ElPaso,4434
Oakland,Cleveland,1314
Memphis,Seattle,3686
Seattle,Oakland,1762
Phoenix,Indianapolis,4154
Omaha,Louisville,3790
SanFrancisco,FortWorth,4558
Omaha,Sacramento,2297
Charlotte,NewYork,663
Washington,Nashville,2855
Nashville,SantaAna,4961
Raleigh,Chicago,4124
LosAngeles,Phoenix,3787
Milwaukee,ColoradoSprings,3702
Oakland,LosAngeles,767
Columbus,Mesa,723
Denver,NewYork,2668
Tucson,Houston,2971
LasVegas,Fresno,2508
Austin,VirginiaBeach,2929
Boston,Minneapolis,1611
Indianapolis,Charlotte,4594
Boston,ColoradoSprings,3818
Seattle,Louisville,82
Memphis,Tulsa,4955
LongBeach,SantaAna,246
Aurora,Austin,1191
Austin,Miami,3000
Columbus,Phoenix,1549
SanDiego,Aurora,3191
FortWorth,Seattle,185
KansasCity,VirginiaBeach,744
Milwaukee,LosAngeles,654
Boston,Fresno,2509
SanFrancisco,Louisville,795
Denver,Indianapolis,1304
OklahomaCity,Tucson,2400
LosAngeles,Atlanta,1419
Chicago,Denver,2201
Dallas,LosAngeles,1687
Cleveland,Washington,1810
SanDiego,Phoenix,61
LongBeach,Denver,2252
Boston,VirginiaBeach,609
SanDiego,VirginiaBeach,3872
LosAngeles,OklahomaCity,4485
Columbus,SanFrancisco,2542
Chicago,Detroit,1115
ElPaso,Indianapolis,4150
Jacksonville,Oakland,2056
NewOrleans,SanFrancisco,334
Omaha,Tucson,79
Albuquerque,Indianapolis,4901
Austin,Tampa,300
Portland,Wichita,2973
SantaAna,Oakland,2022
Bakersfield,Anaheim,3028
Aurora,Oakland,3785
Indianapolis,Miami,1074
Chicago,Tulsa,4380
Tampa,Baltimore,4234
Nashville,Sacramento,3977
Memphis,ElPaso,2338
Wichita,VirginiaBeach,860
Sacramento,Arlington,3144
FortWorth,Anaheim,4338
LosAngeles,FortWorth,2252
SantaAna,SanDiego,2735
Albuquerque,Oakland,3010
Honolulu,Philadelphia,453
Boston,LongBeach,2437
Indianapolis,Wichita,3685
Milwaukee,Jacksonville,4997
Memphis,Minneapolis,1088
Chicago,LosAngeles,2296
FortWorth,Wichita,3959
Milwaukee,ColoradoSprings,4006
LongBeach,Boston,850
ColoradoSprings,Sacramento,90
LongBeach,Houston,2482
ElPaso,Anaheim,2943
Oakland,Raleigh,3710
Atlanta,Cleveland,2782
Bakersfield,Memphis,4803
Fresno,Milwaukee,332
FortWorth,Indianapolis,3177
Raleigh,NewOrleans,2172
Anaheim,Honolulu,4380
Louisville,LosAngeles,2700
VirginiaBeach,Detroit,1919
Philadelphia,SanAntonio,1040
Fresno,FortWorth,4498
SanFrancisco,Minneapolis,2890
Austin,LosAngeles,2698
Sacramento,Austin,620
Chicago,Memphis,2374
Tampa,Detroit,4713
SanDiego,Arlington,1048
Chicago,Arlington,4192
Portland,SanDiego,2325
Philadelphia,Charlotte,2429
LosAngeles,Milwaukee,1128
Charlotte,ColoradoSprings,3338
Nashville,Tucson,2441
Seattle,Honolulu,1923
Albuquerque,Arlington,4279
Baltimore,Arlington,150
Miami,Minneapolis,4884
Houston,Tucson,470
LasVegas,Phoenix,2178
Columbus,NewOrleans,4422
Mesa,Tampa,1741
LosAngeles,Phoenix,3179
Cleveland,Austin,423
LongBeach,NewOrleans,340
Seattle,VirginiaBeach,1593
Nashville,Miami,2231
Arlington,Tampa,3030
SantaAna,ColoradoSprings,1738
Fresno,Arlington,1036
Phoenix,Oakland,3806
Phoenix,NewOrleans,3832
Jacksonville,Minneapolis,4047
Aurora,Fresno,3049
Honolulu,Cleveland,188
Charlotte,Philadelphia,1791
SanFrancisco,Tulsa,465
Anaheim,Tulsa,186
Arlington,LosAngeles,1293
Charlotte,Austin,2577
OklahomaCity,Houston,3985
Anaheim,LasVegas,3970
Nashville,Charlotte,1441
Raleigh,Houston,1270
Fresno,Boston,1908
Denver,LosAngeles,1431
Fresno,Bakersfield,1581
LongBeach,Chicago,2569
Houston,LosAngeles,4520
Oakland,Louisville,884
Oakland,ColoradoSprings,952
NewOrleans,ColoradoSprings,1736
ColoradoSprings,Cleveland,317
Indianapolis,Albuquerque,4978
Detroit,ElPaso,4863
Philadelphia,Minneapolis,180
SanFrancisco,Cleveland,4330
Jacksonville,ElPaso,4461
NewYork,VirginiaBeach,505
Minneapolis,Dallas,1359
LasVegas,Phoenix,3957
Charlotte,Fresno,2508
Omaha,Houston,2059
ElPaso,KansasCity,1277
LasVegas,NewYork,1134
Baltimore,Detroit,2962
Memphis,Albuquerque,1738
Atlanta,Boston,4935
Tulsa,SanFrancisco,2734
NewOrleans,FortWorth,2607
Jacksonville,Columbus,494
Jacksonville,Phoenix,1283
Fresno,Nashville,3275
Oakland,NewOrleans,3353
Portland,Denver,1329
ColoradoSprings,Anaheim,3578
Indianapolis,Miami,2021
Chicago,Austin,2919
Tucson,SanAntonio,4216
Austin,Aurora,2838
SanDiego,Sacramento,2987
Dallas,Memphis,2027
Milwaukee,Austin,4558
Seattle,Nashville,1347
NewOrleans,Minneapolis,4469
Aurora,Omaha,3028
Atlanta,Denver,1772
ColoradoSprings,Tampa,501
Tucson,Philadelphia,4202
Sacramento,FortWorth,2631
LongBeach,SanFrancisco,2494
Memphis,Bakersfield,4122
Sacramento,ColoradoSprings,1173
Tucson,ElPaso,1107
Seattle,Jacksonville,1716
Wichita,Albuquerque,262
OklahomaCity,Fresno,4137
VirginiaBeach,Charlotte,2666
Boston,Dallas,2247
Miami,Memphis,1630
Phoenix,SantaAna,869
SanAntonio,Seattle,1569
Boston,Honolulu,3407
Atlanta,Portland,2664
Aurora,Cleveland,3256
Honolulu,SantaAna,3202
Bakersfield,Baltimore,4061
Fresno,Tulsa,4587
NewOrleans,Houston,1872
Memphis,LasVegas,483
SanAntonio,Miami,4097
Wichita,Raleigh,102
Tucson,Tulsa,2947
SantaAna,LosAngeles,151
Austin,KansasCity,1254
LasVegas,Boston,4236
ColoradoSprings,Detroit,3721
Nashville,VirginiaBeach,3237
Tucson,Portland,1994
Boston,Nashville,2890
SanFrancisco,Chicago,1369
Omaha,Wichita,2080
Boston,Albuquerque,4896
OklahomaCity,Charlotte,2177
Charlotte,Portland,988
Miami,Omaha,472
Jacksonville,Omaha,1036
Cleveland,SanAntonio,463
Washington,SanDiego,1253
Omaha,Anaheim,3198
KansasCity,Bakersfield,1871
Memphis,KansasCity,2383
SanDiego,Austin,2606
Sacramento,Memphis,341
Chicago,Anaheim,3689
SanAntonio,Tampa,2283
Anaheim,Indianapolis,2197
Tulsa,Memphis,1759
Minneapolis,Miami,4991
Nashville,Louisville,4262
Memphis,SanAntonio,4034
Raleigh,Fresno,2694
LosAngeles,FortWorth,312
ElPaso,LasVegas,86
Minneapolis,Columbus,4533
Tucson,Denver,1298
Seattle,Austin,3058
Nashville,Anaheim,4080
SanAntonio,Dallas,3930
Wichita,KansasCity,2667
